Saida,Saida_Estimada,Erro
5,16276.9,-16271.9,
9,8.65723,0.342771,
20,18.6762,1.32378,
55,50.0949,4.90506,
68,69.9955,-1.99547,
112,109.273,2.7273,
163,162.501,0.498529,
182,191.546,-9.54591,
200,211.257,-11.2566,
235,244.539,-9.53898,
282,292.116,-10.1156,
636,592.785,43.2145,
707,744.83,-37.8297,
754,801.991,-47.9911,
791,844.623,-53.6225,
889,934.246,-45.2457,
1100,1132.09,-32.0918,
1285,1338.86,-53.8594,
1474,1541.96,-67.9607,
1648,1733.92,-85.9169,
2037,2096.89,-59.8898,
2240,2365.7,-125.701,
2665,2765.7,-100.699,
2870,3045.72,-175.722,
3036,3235.43,-199.426,
3250,3453.82,-203.819,
3423,3651.62,-228.617,
3735,3951.65,-216.646,
4075,4311.47,-236.474,
4448,4705.62,-257.62,
4772,5068.66,-296.665,
5368,5640.07,-272.072,
6096,6391.35,-295.346,
6558,6961.24,-403.24,
6967,7417.17,-450.171,
7432,7904.58,-472.575,
8000,8490.73,-490.731,
9274,9679,-404.995,
9921,10544.8,-623.848,
11088,11667,-579.047,
11919,12654.2,-735.188,
13424,14100.5,-676.508,
13872,14865.9,-993.877,
14644,15613.6,-969.563,
15212,16281.5,-1069.46,
15879,16975.6,-1096.62,
16540,17691.3,-1151.26,
16749,18037.4,-1288.37,
22080,22432.5,-352.459,
22940,24551.8,-1611.84,
24608,26138.6,-1530.57,
27776,29161.4,-1385.42,
29912,31743.6,-1831.58,
31758,33814.9,-2056.93,
33384,35630,-2245.98,
35198,37539.5,-2341.49,
36824,39346,-2522.02,
38312,40990.2,-2678.16,
42154,44513.7,-2359.73,
44980,47837,-2857,
47590,50713.9,-3123.95,
48510,52157.7,-3647.73,
52726,55834.5,-3108.5,
56224,59804.4,-3580.36,
61120,64721,-3601.03,
62826,67413.2,-4587.24,
69146,73011.9,-3865.94,
0,77841.5,0,
0,82802,0,
0,88125.7,0,
0,93779.9,0,
0,99799.9,0,
0,106206,0,
0,113023,0,
