Saida,Saida_Estimada,Erro
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
1,0,1,
3,0,3,
4,3,1,
5,4,1,
5,5,0,
6,5,1,
6,6,0,
8,6,2,
9,8,1,
10,9,1,
14,10,4,
21,14,7,
30,21,9,
34,31,3,
46,35,11,
56,48,8,
65,58,7,
72,68,4,
85,76,9,
102,89,13,
115,107,8,
143,121,22,
160,150,10,
186,168,18,
205,195,10,
216,216,0,
234,228,6,
260,247,13,
282,274,8,
312,298,14,
352,329,23,
381,371,10,
415,403,12,
450,438,12,
508,476,32,
538,536,2,
565,569,-4,
603,598,5,
628,638,-10,
652,666,-14,
691,691,0,
749,732,17,
803,792,11,
845,850,-5,
927,895,32,
972,979,-7,
1047,1030,17,
1087,1108,-21,
1157,1153,4,
1224,1225,-1,
1298,1296,2,
1381,1375,6,
1461,1462,-1,
1516,1547,-31,
1640,1608,32,
1741,1735,6,
1834,1844,-10,
1925,1943,-18,
2057,2040,17,
2144,2178,-34,
2200,2273,-73,
0,2407,0,
0,2551,0,
0,2702,0,
0,2863,0,
0,3033,0,
0,3213,0,
0,3404,0,
