Saida,Saida_Estimada,Erro
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
4,0,4,
4,4,0,
4,4,0,
6,4,2,
8,6,2,
8,8,0,
8,8,0,
8,8,0,
8,8,0,
8,8,0,
8,8,0,
8,8,0,
8,8,0,
8,8,0,
8,8,0,
8,8,0,
10,8,2,
10,10,0,
10,10,0,
10,10,0,
14,10,4,
16,15,1,
16,17,-1,
18,17,1,
18,19,-1,
20,19,1,
22,21,1,
24,23,1,
24,25,-1,
28,25,3,
28,30,-2,
28,30,-2,
34,30,4,
42,36,6,
46,45,1,
50,49,1,
56,54,2,
66,60,6,
68,71,-3,
74,73,1,
74,79,-5,
84,79,5,
94,90,4,
100,101,-1,
106,108,-2,
114,114,0,
118,123,-5,
126,127,-1,
138,136,2,
152,149,3,
164,164,0,
172,177,-5,
0,191,0,
0,206,0,
0,223,0,
0,240,0,
0,260,0,
0,281,0,
0,303,0,
