Saida,Saida_Estimada,Erro
1,1216.71,-1215.71,
1,1.103,-0.102998,
1,1.103,-0.102998,
1,1.103,-0.102998,
2,2.10188,-0.101875,
3,3.20487,-0.204873,
3,3.30899,-0.308994,
5,5.30675,-0.306749,
9,9.5105,-0.510499,
28,28.9057,-0.905654,
28,30.8839,-2.88394,
30,32.8817,-2.88169,
34,37.0854,-3.08545,
40,43.4952,-3.49519,
42,46.1177,-4.11767,
58,62.308,-4.30795,
64,69.9671,-5.96714,
68,74.5874,-6.58737,
70,77.0016,-7.00161,
72,79.2076,-7.2076,
82,89.4046,-7.40462,
110,118.414,-8.4144,
158,169.276,-11.2759,
170,186.26,-16.2602,
202,219.474,-17.4737,
222,242.783,-20.7831,
272,294.809,-22.8094,
303,330.981,-27.9806,
330,361.178,-31.178,
390,423.922,-33.9219,
410,450.147,-40.1467,
472,514.16,-42.1595,
490,538.595,-48.5948,
526,576.429,-50.4285,
602,656.092,-54.0916,
690,751.906,-61.9059,
772,842.976,-70.9765,
894,973.377,-79.3774,
998,1089.96,-91.9633,
1086,1188.69,-102.693,
1266,1377.65,-111.654,
1398,1528.25,-130.247,
1628,1771.73,-143.733,
1852,2019.43,-167.429,
2068,2258.51,-190.51,
2338,2550.7,-212.696,
2438,2678.7,-240.697,
2722,2972.79,-250.79,
2986,3266.06,-280.064,
3314,3621.18,-307.183,
4062,4402.5,-340.495,
4312,4730.1,-418.097,
4682,5125.71,-443.711,
5050,5531.82,-481.823,
5554,6073.57,-519.573,
6090,6661.45,-571.448,
6722,7348.55,-626.548,
7478,8169.5,-691.503,
8126,8895.49,-769.491,
8694,9530.32,-836.323,
9572,10466.5,-894.478,
10600,11584.7,-984.742,
11676,12766.6,-1090.57,
12476,13677.7,-1201.7,
13764,15047.6,-1283.56,
0,16463.8,0,
0,18012.1,0,
0,19706,0,
0,21559.4,0,
0,23587,0,
0,25805.2,0,
0,28232.2,0,
