Saida,Saida_Estimada,Erro
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
1,0,1,
1,1,0,
3,1,2,
4,3,1,
4,4,0,
4,4,0,
4,4,0,
4,4,0,
4,4,0,
4,4,0,
4,4,0,
5,4,1,
6,5,1,
7,6,1,
7,7,0,
7,7,0,
8,7,1,
8,8,0,
8,8,0,
8,8,0,
8,8,0,
9,8,1,
10,9,1,
12,10,2,
14,13,1,
15,15,0,
15,15,0,
16,15,1,
17,16,1,
18,18,0,
20,19,1,
21,21,0,
24,22,2,
24,25,-1,
24,25,-1,
26,25,1,
28,27,1,
28,29,-1,
29,29,0,
30,30,0,
35,31,4,
37,37,0,
38,39,-1,
42,39,3,
45,44,1,
49,47,2,
57,52,5,
60,61,-1,
60,63,-3,
65,62,3,
72,69,3,
80,77,3,
85,85,0,
87,90,-3,
91,91,0,
93,96,-3,
99,97,2,
107,105,2,
0,111,0,
0,118,0,
0,125,0,
0,132,0,
0,140,0,
0,149,0,
0,158,0,
