Saida,Saida_Estimada,Erro
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
1,0,1,
1,0,1,
2,1,1,
2,1,1,
3,2,1,
5,3,2,
7,4,3,
9,7,2,
10,9,1,
12,10,2,
15,12,3,
19,15,4,
19,19,0,
21,20,1,
21,22,-1,
22,22,0,
22,23,-1,
27,23,4,
30,27,3,
36,31,5,
37,37,0,
45,39,6,
46,46,0,
47,49,-2,
50,50,0,
59,52,7,
64,61,3,
70,67,3,
73,73,0,
76,77,-1,
86,80,6,
96,89,7,
104,100,4,
117,109,8,
123,122,1,
123,130,-7,
141,131,10,
146,147,-1,
160,155,5,
165,168,-3,
183,175,8,
196,192,4,
202,207,-5,
211,214,-3,
225,223,2,
236,237,-1,
262,250,12,
281,274,7,
286,296,-10,
295,304,-9,
312,313,-1,
326,330,-4,
362,345,17,
376,379,-3,
399,399,0,
413,422,-9,
460,438,22,
0,463,0,
0,490,0,
0,519,0,
0,549,0,
0,581,0,
0,615,0,
0,651,0,
