Saida,Saida_Estimada,Erro
1,1,0,
1,1,0,
1,1,0,
1,1,0,
1,1,0,
1,1,0,
1,1,0,
1,1,0,
1,1,0,
1,1,0,
1,1,0,
4,1,3,
5,5,0,
7,5,2,
7,8,-1,
7,7,0,
9,7,2,
11,10,1,
11,12,-1,
11,11,0,
28,11,17,
34,35,-1,
34,37,-3,
36,38,-2,
36,39,-3,
36,37,-1,
45,37,8,
46,50,-4,
56,47,9,
62,63,-1,
64,66,-2,
74,68,6,
74,81,-7,
90,76,14,
96,101,-5,
96,101,-5,
100,102,-2,
144,106,38,
164,166,-2,
178,178,0,
220,197,23,
264,247,17,
318,292,26,
342,357,-15,
420,371,49,
486,475,11,
648,533,115,
826,748,78,
1003,935,68,
1114,1135,-21,
1286,1227,59,
1554,1430,124,
1914,1733,181,
2089,2152,-63,
2452,2277,175,
2744,2744,0,
2882,2985,-103,
3076,3101,-25,
3212,3314,-102,
3406,3405,1,
3734,3639,95,
4066,4021,45,
4344,4375,-31,
4516,4666,-150,
4686,4804,-118,
5160,4971,189,
5522,5563,-41,
5944,5891,53,
6424,6406,18,
7186,6906,280,
7632,7816,-184,
8062,8162,-100,
8632,8654,-22,
8874,9245,-371,
9832,9364,468,
10604,10665,-61,
0,11415,0,
0,12287,0,
0,13217,0,
0,14188,0,
0,15232,0,
0,16353,0,
0,17551,0,
