Saida,Saida_Estimada,Erro
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
1,0,1,
1,1,0,
1,1,0,
2,1,1,
4,2,2,
4,4,0,
4,4,0,
4,4,0,
7,4,3,
11,7,4,
11,12,-1,
13,12,1,
13,13,0,
16,13,3,
21,16,5,
24,22,2,
26,26,0,
26,27,-1,
29,27,2,
32,30,2,
33,34,-1,
39,35,4,
40,41,-1,
44,42,2,
46,46,0,
49,48,1,
50,51,-1,
53,52,1,
58,55,3,
62,61,1,
67,65,2,
74,70,4,
76,78,-2,
79,80,-1,
85,83,2,
92,89,3,
101,97,4,
114,107,7,
124,121,3,
135,132,3,
139,143,-4,
154,147,7,
157,162,-5,
160,166,-6,
170,167,3,
183,178,5,
194,193,1,
207,205,2,
219,218,1,
230,231,-1,
245,242,3,
248,258,-10,
258,261,-3,
272,270,2,
279,286,-7,
0,301,0,
0,318,0,
0,335,0,
0,354,0,
0,373,0,
0,394,0,
0,416,0,
