Saida,Saida_Estimada,Erro
1,1,0,
1,1,0,
4,1,3,
5,5,0,
6,5,1,
6,6,0,
10,6,4,
10,11,-1,
10,10,0,
15,10,5,
16,17,-1,
16,17,-1,
16,16,0,
32,17,15,
32,38,-6,
32,35,-3,
38,31,7,
40,43,-3,
46,44,2,
50,50,0,
54,55,-1,
64,58,6,
64,71,-7,
72,69,3,
72,78,-6,
78,79,-1,
84,85,-1,
84,93,-9,
88,91,-3,
88,96,-8,
90,96,-6,
92,98,-6,
96,101,-5,
106,106,0,
142,118,24,
166,163,3,
172,185,-13,
184,182,2,
234,199,35,
248,266,-18,
288,273,15,
306,314,-8,
318,337,-19,
394,343,51,
560,445,115,
674,649,25,
894,748,146,
1034,992,42,
1202,1141,61,
1460,1308,152,
1544,1630,-86,
1796,1678,118,
1996,1972,24,
2428,2220,208,
2876,2707,169,
3176,3215,-39,
3542,3460,82,
3600,3874,-274,
4064,3906,158,
4536,4489,47,
4988,5080,-92,
5736,5480,256,
6270,6365,-95,
6686,6911,-225,
7132,7277,-145,
7934,7824,110,
8554,8810,-256,
9468,9445,23,
9844,10434,-590,
0,11549,0,
0,12742,0,
0,14059,0,
0,15502,0,
0,17099,0,
0,18862,0,
0,20809,0,
