Saida,Saida_Estimada,Erro
2,2,0,
2,2,0,
2,2,0,
2,2,0,
2,2,0,
16,2,14,
16,17,-1,
28,16,12,
30,30,0,
30,31,-1,
37,31,6,
42,39,3,
42,44,-2,
46,44,2,
48,48,0,
56,50,6,
136,59,77,
146,149,-3,
156,155,1,
174,165,9,
190,185,5,
212,202,10,
272,226,46,
352,292,60,
402,378,24,
446,429,17,
704,475,229,
802,763,39,
1110,856,254,
1368,1197,171,
1632,1466,166,
1920,1746,174,
2308,2053,255,
2568,2471,97,
2968,2737,231,
3366,3170,196,
4012,3591,421,
4386,4293,93,
4918,4670,248,
5380,5244,136,
5816,5728,88,
6596,6188,408,
7123,7038,85,
7998,7578,420,
9014,8529,485,
9796,9615,181,
10716,10426,290,
11448,11410,38,
12388,12172,216,
13752,13182,570,
14668,14656,12,
16290,15594,696,
17286,17361,-75,
17726,18371,-645,
18650,18798,-148,
19762,19810,-48,
21648,21001,647,
23174,23053,121,
24940,24643,297,
26550,26530,20,
27536,28223,-687,
28618,29222,-604,
29802,30375,-573,
31176,31636,-460,
32418,33104,-686,
36976,34409,2567,
38904,39471,-567,
40188,41325,-1137,
42484,42638,-154,
45120,45141,-21,
47822,47956,-134,
51520,50822,698,
53572,54808,-1236,
0,58260,0,
0,61926,0,
0,65823,0,
0,69965,0,
0,74368,0,
0,79048,0,
0,84022,0,
